year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2022,6,587.7002465478924,574.3283132431725,285.7872647427854,maize,0.0,tau
2022,7,585.654929392277,498.62468243943255,274.9755332496863,maize,0.0,tau
2022,8,580.675730671454,421.3723701957831,246.71179422835633,maize,0.0,tau
2022,9,567.4907641246527,640.2852795218687,266.2069636135508,maize,0.0,tau
2022,10,599.5355104742866,956.6430046600981,292.5126725219573,maize,0.0,tau
2022,11,612.594763638405,1099.3622707580857,273.1877666248431,maize,0.0,tau
2022,12,605.5431888712144,1033.882719577357,257.26813048933496,maize,0.0,tau
2023,1,598.5712973822747,924.089020668624,265.2944994064108,maize,0.0,tau
2023,2,591.4915426487073,847.0627796157191,261.2642659279779,maize,0.0,tau
2023,3,584.1054226867908,800.16008526915,247.50890383854377,maize,0.0,tau
2023,4,582.1237054815069,757.4056093329752,255.04368816778793,maize,0.0,tau
2023,5,582.4204498106442,703.4247118970382,234.8925207756233,maize,0.0,tau
2023,6,582.4964812851713,639.6914343186536,233.84115552037989,maize,0.0,tau
2023,7,580.5942678719405,560.3250942035129,212.37578155916108,maize,0.0,tau
2023,8,576.7350853105175,480.9780892487819,181.8861891571033,maize,0.0,tau
2023,9,560.4773291620331,697.4790359099096,196.0796201028888,maize,0.0,tau
2023,10,569.8733029541588,1007.2643175024862,202.12497032053815,maize,0.0,tau
2023,11,587.5901967339123,1142.2907012741668,185.1278986941037,maize,0.0,tau
2023,12,623.6228247031241,1070.5622890423185,180.92243767313025,maize,0.0,tau
2021,1,300.5508543635814,653.67825139753,214.3483622350674,maize,0.3,full
2021,2,366.1987447712213,573.8176072160574,224.12886319845856,maize,0.3,full
2021,3,441.05164190651806,528.8349846098668,224.12886319845856,maize,0.3,full
2021,4,506.7115960607824,491.8185270051944,245.15236994219651,maize,0.3,full
2021,5,569.8861462334236,442.7420104860865,279.06420038535646,maize,0.3,full
2021,6,609.806395642008,380.5888526756878,267.45556840077074,maize,0.3,full
2021,7,610.3151527677337,299.1081449214406,254.47583815028895,maize,0.3,full
2021,8,595.2854013024808,215.72359796278502,234.54921001926783,maize,0.3,full
2021,9,584.5038489674877,436.201180218045,215.35383429672444,maize,0.3,full
2021,10,598.5878224345281,770.641322280266,219.0100963391137,maize,0.3,full
2021,11,620.0782682057907,940.1460153457706,227.32809248554912,maize,0.3,full
2021,12,618.7477774096108,888.7805369370674,241.7703275529865,maize,0.3,full
2022,1,614.111809728976,787.5369553216332,235.47440401505648,maize,0.3,full
2022,2,608.2257806272873,718.7152293378972,249.09548306148056,maize,0.3,full
2022,3,606.3508414933774,678.9782601951144,285.61700125470514,maize,0.3,full
2022,4,603.1001675262287,639.5495124307404,296.42873274780425,maize,0.3,full
2022,5,601.2310673778475,584.5281168445439,293.5342534504391,maize,0.3,full
2022,6,599.7875780120803,515.588952538619,285.7872647427854,maize,0.3,full
2022,7,597.2445796823088,427.7417471852379,274.9755332496863,maize,0.3,full
2022,8,591.2110565718908,338.6873800448614,246.71179422835633,maize,0.3,full
2022,9,579.621400461232,537.7584515599965,266.2069636135508,maize,0.3,full
2022,10,612.350998354435,837.0681551442269,292.5126725219573,maize,0.3,full
2022,11,626.5127748493587,976.0677772964953,273.1877666248431,maize,0.3,full
2022,12,621.8599167312045,916.4429237568199,257.26813048933496,maize,0.3,full
2023,1,617.1586073056601,813.5806806714886,265.2944994064108,maize,0.3,full
2023,2,610.1493721334436,740.7569011645189,261.2642659279779,maize,0.3,full
2023,3,602.2356552673259,697.0001411351643,247.50890383854377,maize,0.3,full
2023,4,599.0807540091384,655.7609555228366,255.04368816778793,maize,0.3,full
2023,5,598.0340963135645,599.4317810933806,234.8925207756233,maize,0.3,full
2023,6,597.083691370084,529.7162660085418,233.84115552037989,maize,0.3,full
2023,7,593.7382044617523,441.4133706496068,212.37578155916108,maize,0.3,full
2023,8,589.425721264845,351.51592648317364,181.8861891571033,maize,0.3,full
2023,9,578.3321693065133,564.178750327256,196.0796201028888,maize,0.3,full
2023,10,588.0496257594682,882.8308371133787,202.12497032053815,maize,0.3,full
2023,11,600.0527735905033,1029.8167605479969,185.1278986941037,maize,0.3,full
2023,12,631.7395085841454,964.1504420252334,180.92243767313025,maize,0.3,full
2021,1,231.36853155918402,652.8200534853427,214.3483622350674,maize,0.3,shocks
2021,2,222.93138134889824,566.7021670953111,224.12886319845856,maize,0.3,shocks
2021,3,222.046753779264,511.29009634919794,224.12886319845856,maize,0.3,shocks
2021,4,215.20965877422228,460.18948958043165,245.15236994219651,maize,0.3,shocks
2021,5,206.2465413508073,394.59816598667453,279.06420038535646,maize,0.3,shocks
2021,6,197.35819786454667,313.6134477093616,267.45556840077074,maize,0.3,shocks
2021,7,191.5045675885509,212.30799706189498,254.47583815028895,maize,0.3,shocks
2021,8,209.46889697310513,120.87972598086473,234.54921001926783,maize,0.3,shocks
2021,9,203.05667014670712,330.7226357450104,215.35383429672444,maize,0.3,shocks
2021,10,190.07677366449548,645.8574841072972,219.0100963391137,maize,0.3,shocks
2021,11,199.11513930574193,802.9527111038753,227.32809248554912,maize,0.3,shocks
2021,12,192.7187607862014,740.3441352968412,241.7703275529865,maize,0.3,shocks
2022,1,194.34251545474427,626.2863561755269,235.47440401505648,maize,0.3,shocks
2022,2,188.84675413925862,544.6346397202963,249.09548306148056,maize,0.3,shocks
2022,3,202.97844423775143,488.762486885993,285.61700125470514,maize,0.3,shocks
2022,4,203.06537954340985,434.16895117409507,296.42873274780425,maize,0.3,shocks
2022,5,200.782056119128,365.74410765021855,293.5342534504391,maize,0.3,shocks
2022,6,204.0889386216129,283.837536993584,285.7872647427854,maize,0.3,shocks
2022,7,238.18295879820818,184.61176982311196,274.9755332496863,maize,0.3,shocks
2022,8,276.57898867113136,103.58035008156504,246.71179422835633,maize,0.3,shocks
2022,9,266.77012253306174,303.553864133889,266.2069636135508,maize,0.3,shocks
2022,10,255.05993607561373,596.3486810702027,292.5126725219573,maize,0.3,shocks
2022,11,261.5368931110179,741.6383665078359,273.1877666248431,maize,0.3,shocks
2022,12,258.4312018548384,689.536354519759,257.26813048933496,maize,0.3,shocks
2023,1,261.3139908610997,589.8809537709071,265.2944994064108,maize,0.3,shocks
2023,2,260.7114491806445,514.6721769402229,261.2642659279779,maize,0.3,shocks
2023,3,289.8865706105612,462.9641200752025,247.50890383854377,maize,0.3,shocks
2023,4,321.9461734891464,415.77433221482977,255.04368816778793,maize,0.3,shocks
2023,5,327.7204724121413,357.76704098832346,234.8925207756233,maize,0.3,shocks
2023,6,318.39139527819634,286.2825618806221,233.84115552037989,maize,0.3,shocks
2023,7,318.69755842740364,195.94770794549055,212.37578155916108,maize,0.3,shocks
2023,8,328.66392335484545,108.98362979020865,181.8861891571033,maize,0.3,shocks
2023,9,311.0673740170266,321.87280506006357,196.0796201028888,maize,0.3,shocks
2023,10,279.8698948480184,639.4942776165137,202.12497032053815,maize,0.3,shocks
2023,11,263.11544612866055,797.2888417694576,185.1278986941037,maize,0.3,shocks
2023,12,251.08444607512072,739.5307965268319,180.92243767313025,maize,0.3,shocks
2021,1,292.3598476911228,659.8341302025281,214.3483622350674,maize,0.3,tau
2021,2,348.45751388471325,586.0014447980382,224.12886319845856,maize,0.3,tau
2021,3,407.1658875827983,544.7564519040938,224.12886319845856,maize,0.3,tau
2021,4,468.1377408094872,512.7115188344,245.15236994219651,maize,0.3,tau
2021,5,528.9384532549699,470.649360132173,279.06420038535646,maize,0.3,tau
2021,6,577.8322314865623,416.2959238381187,267.45556840077074,maize,0.3,tau
2021,7,587.0685708539593,343.73207127622754,254.47583815028895,maize,0.3,tau
2021,8,572.6222094387347,269.4311426809024,234.54921001926783,maize,0.3,tau
2021,9,561.23028332335,491.1397792396484,215.35383429672444,maize,0.3,tau
2021,10,577.1593515151955,817.4218574565707,219.0100963391137,maize,0.3,tau
2021,11,607.4663397216593,974.1003397845084,227.32809248554912,maize,0.3,tau
2021,12,605.512469099714,920.4742629097627,241.7703275529865,maize,0.3,tau
2022,1,602.0407754603929,819.1904089180954,235.47440401505648,maize,0.3,tau
2022,2,596.5265600035095,747.3952051080321,249.09548306148056,maize,0.3,tau
2022,3,592.9221133629576,705.5922499867161,285.61700125470514,maize,0.3,tau
2022,4,590.4988783547235,668.6105272274933,296.42873274780425,maize,0.3,tau
2022,5,589.6995332186548,619.9059533916729,293.5342534504391,maize,0.3,tau
2022,6,588.9078890752937,560.3817666642235,285.7872647427854,maize,0.3,tau
2022,7,586.7402329879062,482.89825258916835,274.9755332496863,maize,0.3,tau
2022,8,580.3073599791762,403.85235155396373,246.71179422835633,maize,0.3,tau
2022,9,568.8590214411506,621.1484884103855,266.2069636135508,maize,0.3,tau
2022,10,593.6505097851134,936.7689356470371,292.5126725219573,maize,0.3,tau
2022,11,610.5677497469117,1079.4980058472402,273.1877666248431,maize,0.3,tau
2022,12,604.880931610112,1013.7729866870507,257.26813048933496,maize,0.3,tau
2023,1,598.8336610727852,903.5832735827748,265.2944994064108,maize,0.3,tau
2023,2,592.2879829603478,825.6477913037452,261.2642659279779,maize,0.3,tau
2023,3,585.2644518177369,778.1572264348331,247.50890383854377,maize,0.3,tau
2023,4,583.4527111402399,734.9905532265277,255.04368816778793,maize,0.3,tau
2023,5,583.794859189833,680.6125605872621,234.8925207756233,maize,0.3,tau
2023,6,583.8174950247741,616.3902253562283,233.84115552037989,maize,0.3,tau
2023,7,581.7880204151635,536.2739114766243,212.37578155916108,maize,0.3,tau
2023,8,578.212138716271,455.40039960195367,181.8861891571033,maize,0.3,tau
2023,9,562.5924897084926,670.4495134725918,196.0796201028888,maize,0.3,tau
